"gwcode","fid","start","end","heg_main_match","rowmin","rowmax","colmin","colmax","filename"
0,221,1855,1920,"arabic [l5]",498,564,724,875,"0_1855_1920_arabic_[l5].tif"
0,222,1921,1923,"arabic [l5]",498,564,724,819,"0_1921_1923_arabic_[l5].tif"
0,223,1924,1932,"arabic [l5]",498,564,724,819,"0_1924_1932_arabic_[l5].tif"
200,1,1855,1921,"gaelic, irish [org]",194,325,169,315,"200_1855_1921_gaelic,_irish_[org].tif"
200,1,1855,1921,"english [org]",194,325,169,315,"200_1855_1921_english_[org].tif"
200,1,1855,1921,"welsh [org]",194,325,169,315,"200_1855_1921_welsh_[org].tif"
200,1,1855,1921,"scots [org]",194,325,169,315,"200_1855_1921_scots_[org].tif"
200,1,1855,1921,"gaelic, scottish [org]",194,325,169,315,"200_1855_1921_gaelic,_scottish_[org].tif"
200,1,1855,1921,"norwegian [org]",194,325,169,315,"200_1855_1921_norwegian_[org].tif"
200,2,1922,2020,"english [org]",194,325,196,315,"200_1922_2020_english_[org].tif"
200,2,1922,2020,"welsh [org]",194,325,196,315,"200_1922_2020_welsh_[org].tif"
200,2,1922,2020,"scots [org]",194,325,196,315,"200_1922_2020_scots_[org].tif"
200,2,1922,2020,"gaelic, irish [org]",194,325,196,315,"200_1922_2020_gaelic,_irish_[org].tif"
200,2,1922,2020,"gaelic, scottish [org]",194,325,196,315,"200_1922_2020_gaelic,_scottish_[org].tif"
200,2,1922,2020,"norwegian [org]",194,325,196,315,"200_1922_2020_norwegian_[org].tif"
205,3,1922,1926,"gaelic, irish [org]",260,307,169,222,"205_1922_1926_gaelic,_irish_[org].tif"
205,3,1922,1926,"english [org]",260,307,169,222,"205_1922_1926_english_[org].tif"
205,3,1922,1926,"scots [org]",260,307,169,222,"205_1922_1926_scots_[org].tif"
205,3,1927,2020,"gaelic, irish [org]",260,307,169,222,"205_1927_2020_gaelic,_irish_[org].tif"
205,3,1927,2020,"english [org]",260,307,169,222,"205_1927_2020_english_[org].tif"
205,3,1927,2020,"scots [org]",260,307,169,222,"205_1927_2020_scots_[org].tif"
210,4,1855,2020,"dutch [org]",283,315,335,381,"210_1855_2020_dutch_[org].tif"
210,4,1855,2020,"frisian [l4]",283,315,335,381,"210_1855_2020_frisian_[l4].tif"
210,4,1855,2020,"vlaams [org]",283,315,335,381,"210_1855_2020_vlaams_[org].tif"
210,4,1855,2020,"german [l5]",283,315,335,381,"210_1855_2020_german_[l5].tif"
210,4,1855,2020,"walloon [org]",283,315,335,381,"210_1855_2020_walloon_[org].tif"
211,5,1855,2020,"french [org]",306,330,325,371,"211_1855_2020_french_[org].tif"
211,5,1855,2020,"german [l5]",306,330,325,371,"211_1855_2020_german_[l5].tif"
211,5,1855,2020,"walloon [org]",306,330,325,371,"211_1855_2020_walloon_[org].tif"
211,5,1855,2020,"dutch [org]",306,330,325,371,"211_1855_2020_dutch_[org].tif"
211,5,1855,2020,"vlaams [org]",306,330,325,371,"211_1855_2020_vlaams_[org].tif"
212,6,1855,2020,"french [org]",322,331,363,373,"212_1855_2020_french_[org].tif"
212,6,1855,2020,"german [l5]",322,331,363,373,"212_1855_2020_german_[l5].tif"
212,6,1855,2020,"walloon [org]",322,331,363,373,"212_1855_2020_walloon_[org].tif"
220,7,1855,1919,"french [org]",311,428,237,409,"220_1855_1919_french_[org].tif"
220,7,1855,1919,"breton [org]",311,428,237,409,"220_1855_1919_breton_[org].tif"
220,7,1855,1919,"italian [org]",311,428,237,409,"220_1855_1919_italian_[org].tif"
220,7,1855,1919,"corsican [org]",311,428,237,409,"220_1855_1919_corsican_[org].tif"
220,7,1855,1919,"german [l5]",311,428,237,409,"220_1855_1919_german_[l5].tif"
220,7,1855,1919,"walloon [org]",311,428,237,409,"220_1855_1919_walloon_[org].tif"
220,7,1855,1919,"vlaams [org]",311,428,237,409,"220_1855_1919_vlaams_[org].tif"
220,7,1855,1919,"basque [l1]",311,428,237,409,"220_1855_1919_basque_[l1].tif"
220,7,1855,1919,"catalan-valencian-balear [org]",311,428,237,409,"220_1855_1919_catalan-valencian-balear_[org].tif"
220,7,1855,1919,"occitan [org]",311,428,237,409,"220_1855_1919_occitan_[org].tif"
220,7,1855,1919,"spanish [org]",311,428,237,409,"220_1855_1919_spanish_[org].tif"
220,8,1920,2020,"french [org]",311,428,237,409,"220_1920_2020_french_[org].tif"
220,8,1920,2020,"breton [org]",311,428,237,409,"220_1920_2020_breton_[org].tif"
220,8,1920,2020,"italian [org]",311,428,237,409,"220_1920_2020_italian_[org].tif"
220,8,1920,2020,"corsican [org]",311,428,237,409,"220_1920_2020_corsican_[org].tif"
220,8,1920,2020,"german [l5]",311,428,237,409,"220_1920_2020_german_[l5].tif"
220,8,1920,2020,"walloon [org]",311,428,237,409,"220_1920_2020_walloon_[org].tif"
220,8,1920,2020,"vlaams [org]",311,428,237,409,"220_1920_2020_vlaams_[org].tif"
220,8,1920,2020,"basque [l1]",311,428,237,409,"220_1920_2020_basque_[l1].tif"
