"gwcode","fid","start","end"
0,221,1855,1920
0,222,1921,1923
0,223,1924,1932
200,1,1855,1921
200,2,1922,2020
205,3,1922,1926
205,3,1927,2020
210,4,1855,2020
211,5,1855,2020
212,6,1855,2020
220,7,1855,1919
220,8,1920,2020
221,224,1855,2020
223,225,1855,2020
225,9,1855,2020
230,10,1855,2020
235,11,1855,2020
255,12,1855,1919
255,13,1920,1920
255,14,1921,1938
255,15,1939,1939
255,15,1940,1945
260,16,1991,2020
260,17,1950,1990
260,18,1946,1949
265,19,1950,1990
265,20,1946,1949
290,21,1919,1919
290,23,1920,1920
290,24,1921,1921
290,25,1922,1945
290,26,1946,1946
290,26,1947,1950
290,26,1951,1955
290,26,1956,2020
291,27,1920,1938
300,28,1855,1908
300,29,1909,1918
305,30,1919,1919
305,31,1920,1942
305,31,1943,2020
310,33,1919,1919
310,34,1920,1920
310,35,1921,1938
310,36,1939,1945
310,36,1946,1947
310,37,1948,1948
310,37,1949,2020
315,38,1919,1938
315,40,1939,1939
315,40,1940,1945
315,41,1946,1946
315,41,1947,1947
315,42,1948,1948
315,42,1949,1992
316,43,1993,2020
317,44,1993,2020
325,45,1855,1919
325,46,1920,1945
325,46,1946,2020
331,226,1855,1945
331,226,1946,2020
338,47,1855,1964
338,48,1965,2020
339,49,1915,1920
339,50,1921,2020
339,51,1913,1914
340,52,1855,1913
340,53,1914,1915
340,54,2007,2008
340,55,2009,2020
340,56,1916,1918
341,57,1855,1913
341,58,1914,1915
341,59,2007,2020
341,60,1916,1918
343,61,1992,1999
343,61,2000,2020
344,62,1993,1995
344,62,1996,2002
344,62,2003,2020
345,63,1919,1919
345,64,1920,1920
345,65,1921,1939
345,65,1940,1945
345,65,1946,1950
345,65,1951,1966
345,65,1967,1991
345,66,1992,1992
345,67,1993,1994
345,67,1995,1995
345,67,1996,1999
345,67,2000,2002
345,67,2003,2006
346,68,1993,1998
346,68,1999,1999
346,68,2000,2020
3461,217,1855,1908
3462,218,1855,1908
347,69,2009,2020
349,70,1993,2020
350,71,1855,1913
350,72,1914,1918
350,72,1919,1919
350,73,1920,1923
350,73,1924,1926
350,73,1927,1945
350,73,1946,2020
352,74,1915,1960
352,75,1961,1970
352,75,1971,2020
355,76,1855,1913
355,77,1914,1914
355,77,1915,1917
355,77,1918,1918
355,78,1919,1919
355,79,1920,1932
355,79,1933,1940
355,80,1941,1950
355,80,1951,1955
355,80,1956,1989
355,80,1990,2020
359,81,1992,2020
360,82,1855,1913
360,83,1914,1916
360,84,1919,1919
360,86,1920,1920
360,88,1921,1940
360,90,1941,1945
360,90,1946,1947
360,90,1948,1950
360,90,1951,2020
360,91,1917,1918
365,101,1941,1941
365,101,1942,1942
365,101,1943,1943
365,101,1944,1944
365,101,1945,1945
365,103,1946,1946
365,103,1947,1949
365,103,1950,1950
365,103,1951,1952
365,103,1953,1953
365,103,1954,1955
365,103,1956,1956
365,103,1957,1957
365,103,1958,1959
365,103,1960,1967
365,103,1968,1970
365,103,1971,1975
365,103,1976,1991
365,109,1992,1992
365,109,1993,1994
365,109,1995,1998
365,109,1999,2014
365,110,2015,2020
365,111,1855,1880
365,111,1881,1893
365,111,1894,1895
365,111,1896,1905
365,112,1906,1911
365,112,1912,1914
365,113,1915,1917
365,114,1918,1918
365,94,1919,1920
365,97,1921,1921
365,98,1922,1922
365,98,1923,1923
365,98,1924,1924
365,98,1925,1928
365,98,1929,1933
365,98,1934,1934
365,98,1935,1935
365,98,1936,1937
365,98,1938,1939
365,98,1940,1940
366,117,1919,1940
366,118,1992,2020
367,119,1919,1940
367,120,1992,2020
368,121,1923,1939
368,122,1940,1940
368,123,1919,1920
368,124,1921,1922
368,125,1992,2020
369,126,1992,2014
369,127,2015,2020
370,128,1992,2020
371,129,1992,1994
371,129,1995,1998
371,129,1999,2020
372,130,1992,1992
372,130,1993,1993
372,130,1994,1998
372,130,1999,2020
373,131,1992,1994
373,131,1995,1998
373,131,1999,2020
375,132,1918,1940
375,133,1941,1944
375,133,1945,2020
380,134,1855,1905
380,135,1906,2020
385,136,1906,2020
390,137,1855,1920
390,138,1921,2020
395,139,1855,1918
395,140,1919,1942
395,141,1945,2020
395,142,1943,1944
430,143,1855,1898
430,144,1899,1902
600,145,1855,1902
600,146,1903,1904
600,148,1957,1958
600,149,1959,1975
600,150,1976,1979
600,151,1980,2020
600,153,1905,1912
600,154,1913,1956
602,155,1913,1956
615,156,1855,1901
615,157,1902,1902
615,158,1903,1919
615,159,1920,1962
615,160,1963,2020
616,161,1956,1966
616,161,1967,2020
616,162,1855,1955
620,163,1913,1919
620,164,1920,1925
620,165,1926,1934
620,166,1935,1943
620,167,1952,1970
620,167,1971,2020
620,168,1950,1951
620,169,1944,1949
630,170,1855,1974
630,170,1975,2020
640,171,1924,1938
640,171,1939,1951
640,171,1952,1966
640,171,1967,1994
640,171,1995,2015
640,171,2016,2020
640,172,1855,1878
640,172,1879,1910
640,172,1911,1912
640,174,1913,1913
640,175,1914,1914
640,176,1915,1918
640,178,1919,1920
640,179,1921,1923
645,180,1933,1933
645,180,1934,1951
645,180,1952,1961
645,180,1962,1974
645,180,1975,1985
645,180,1986,1988
645,180,1989,1991
645,180,1992,2011
645,180,2012,2020
645,181,1921,1922
645,182,1923,1932
651,185,1855,1899
651,186,1900,1914
651,187,1923,1925
651,188,1926,1967
651,189,1968,1979
651,190,1980,2020
651,191,1915,1922
6511,219,1949,1967
652,192,1946,1947
652,192,1948,1967
652,193,1968,2011
652,193,2012,2020
652,194,1921,1922
652,195,1923,1938
652,195,1939,1945
660,197,1945,2020
660,198,1921,1944
663,200,1947,2020
663,201,1921,1923
663,202,1924,1925
663,203,1926,1946
6631,220,1949,1967
665,205,1924,1938
665,205,1939,1948
665,207,1921,1923
666,208,1949,1949
666,208,1950,1951
666,208,1952,1967
666,209,1968,1979
666,210,1980,2020
670,211,1933,1934
670,212,1935,2000
670,213,2001,2020
690,214,1962,2020
705,215,1992,1997
705,216,1998,2020
